team_1,team_2,winner,margin,ground,ground_url,match_date,scorecard,scorecard_url
New Zealand,Zimbabwe,New Zealand,141 runs,Whangarei,http://stats.espncricinfo.com/ci/content/ground/441704.html,2012-02-06,ODI # 3232,http://stats.espncricinfo.com/ci/engine/match/520593.html
India,Sri Lanka,India,4 wickets,Perth,http://stats.espncricinfo.com/ci/content/ground/56490.html,2012-02-08,ODI # 3233,http://stats.espncricinfo.com/ci/engine/match/518957.html
New Zealand,Zimbabwe,New Zealand,202 runs,Napier,http://stats.espncricinfo.com/ci/content/ground/58857.html,2012-02-09,ODI # 3234,http://stats.espncricinfo.com/ci/engine/match/520594.html
Australia,Sri Lanka,Australia,5 runs,Perth,http://stats.espncricinfo.com/ci/content/ground/56490.html,2012-02-10,ODI # 3235,http://stats.espncricinfo.com/ci/engine/match/518958.html
Afghanistan,Pakistan,Pakistan,7 wickets,Sharjah,http://stats.espncricinfo.com/ci/content/ground/59392.html,2012-02-10,ODI # 3236,http://stats.espncricinfo.com/ci/engine/match/545656.html
Australia,India,India,4 wickets,Adelaide,http://stats.espncricinfo.com/ci/content/ground/56293.html,2012-02-12,ODI # 3237,http://stats.espncricinfo.com/ci/engine/match/518959.html
England,Pakistan,England,130 runs,Abu Dhabi,http://stats.espncricinfo.com/ci/content/ground/59396.html,2012-02-13,ODI # 3238,http://stats.espncricinfo.com/ci/engine/match/531631.html
India,Sri Lanka,tied,,Adelaide,http://stats.espncricinfo.com/ci/content/ground/56293.html,2012-02-14,ODI # 3239,http://stats.espncricinfo.com/ci/engine/match/518960.html
England,Pakistan,England,20 runs,Abu Dhabi,http://stats.espncricinfo.com/ci/content/ground/59396.html,2012-02-15,ODI # 3240,http://stats.espncricinfo.com/ci/engine/match/531632.html
Australia,Sri Lanka,Sri Lanka,8 wickets,Sydney,http://stats.espncricinfo.com/ci/content/ground/56544.html,2012-02-17,ODI # 3241,http://stats.espncricinfo.com/ci/engine/match/518961.html
Kenya,Ireland,Kenya,7 wickets,Mombasa,http://stats.espncricinfo.com/ci/content/ground/58652.html,2012-02-18,ODI # 3242,http://stats.espncricinfo.com/ci/engine/match/543881.html
England,Pakistan,England,9 wickets,Dubai (DSC),http://stats.espncricinfo.com/ci/content/ground/392627.html,2012-02-18,ODI # 3243,http://stats.espncricinfo.com/ci/engine/match/531633.html
Australia,India,Australia,110 runs,Brisbane,http://stats.espncricinfo.com/ci/content/ground/56336.html,2012-02-19,ODI # 3244,http://stats.espncricinfo.com/ci/engine/match/518962.html
Kenya,Ireland,Ireland,117 runs,Mombasa,http://stats.espncricinfo.com/ci/content/ground/58652.html,2012-02-20,ODI # 3245,http://stats.espncricinfo.com/ci/engine/match/543882.html
India,Sri Lanka,Sri Lanka,51 runs,Brisbane,http://stats.espncricinfo.com/ci/content/ground/56336.html,2012-02-21,ODI # 3246,http://stats.espncricinfo.com/ci/engine/match/518963.html
England,Pakistan,England,4 wickets,Dubai (DSC),http://stats.espncricinfo.com/ci/content/ground/392627.html,2012-02-21,ODI # 3247,http://stats.espncricinfo.com/ci/engine/match/531634.html
Australia,Sri Lanka,Sri Lanka,3 wickets,Hobart,http://stats.espncricinfo.com/ci/content/ground/56407.html,2012-02-24,ODI # 3248,http://stats.espncricinfo.com/ci/engine/match/518964.html
